ts,frame,blinks,micro,full,prolonged,bopen,intent,intent_id,conf,microsleep_total,attn_idx,stress_idx,engage_idx,alert_idx,cload_idx,valence_idx,ear_left,ear_right,ear_asymmetry,blink_openness,bright_asymmetry,gaze_x,gaze_y,gaze_stab,gaze_entropy,pupil_ratio,face_area,eye_bright,eye_variance,face_sym,motion,blink_rate,blink_type,head_tilt,attention,cog_load,valence,signal_delta,brow_raise,open_rate,tmef_code,saccade_vel,clsd_spike,circadian_idx,ibiv,pb_waveform,bilateral_coh,cog_momentum,perclos,microsleep,head_pitch,head_yaw,eye_strain,productivity
22:11:35.108,1,0,0,0,0,1.0,CURIOUS,4,0.2613,0,69.4,31.7,83.3,67.6,44.6,54.8,0.4464,0.4464,0.0,0.9911,1.8599,0.0,0.0,0.5,0.5,0.3851,0.9844,64.0943,21.5572,0.7953,15.6651,0.0,0.5,0.0,69.3713,44.6111,54.777,0.8058,-0.1347,0.1978,0.2667,0.0,0.0,0.2,0.5,0.5,1.0,0.4826,0.0,0.0,-0.0804,0.119,0.5,0.7375
22:11:38.748,2,0,0,0,0,1.0,DECIDING,2,0.2675,0,69.2,4.8,100.0,83.2,28.4,54.7,0.4487,0.4487,0.0,0.987,1.7875,0.0,0.0,0.5,0.5,0.4495,1.4187,71.8437,24.9239,0.7902,3.1315,0.0,0.5,0.0,69.1894,28.4212,54.6759,0.513,-0.1364,0.2659,0.1333,0.0,0.0,0.021,0.5,0.5,1.0,0.5337,0.0,0.0,-0.0117,0.9762,0.5,0.7977
